ごるふをするおんな	ごるふをするおんな 🏌️‍♀️
レスリング	レスリング 🤼 🤼‍♀️ 🤼‍♂️
かみをふりはらう	かみをふりはらう 💁
駅伝	駅伝 🎽
せんせい	せんせい 👨‍🏫 👩‍🏫 🧑‍🏫
プライバシー	プライバシー 🔏
電気	電気 ⚡️ 🔌
さいん	さいん 🚧
祝（お祝い）	祝（お祝い） ㊗️
ちかてつ	ちかてつ Ⓜ️ 🚇️
さいふ	さいふ 👛
モーリシャス島	モーリシャス島 🦤
ひこうきりりく	ひこうきりりく 🛫
金髪の人	金髪の人 👱
ねっくれす	ねっくれす 📿
えんどる	えんどる 💱
リコーダー	リコーダー 🪈
こがたひこうき	こがたひこうき 🛩️
遊園地	遊園地 🎠 🎡 🎢
おとしだま	おとしだま 🧧
上弦	上弦 🌓
あいす	あいす 🍦 🍧 🍨
四角数字10	四角数字10 🔟
グアナコ	グアナコ 🦙
おたく	おたく 🤓
起立	起立 🧍 🧍‍♀️ 🧍‍♂️
入場パス	入場パス 🎟️
現金	現金 💰️ 💷
子猫	子猫 🐱
いなづま	いなづま ⚡️
モントセラト	モントセラト 🇲🇸
あごひげの人	あごひげの人 🧔
イタリア料理	イタリア料理 🍝
ビジネスマン	ビジネスマン 👨‍💼 🕴️
ウイスキー	ウイスキー 🥃
ベールの男性	ベールの男性 👰‍♂️
めだる	めだる 🎖️ 🏅 🥇 🥈 🥉
電池	電池 🔋
正装	正装 🤵
うえぼたん	うえぼたん 🔼
指マーク	指マーク 🈯️
あいさつ	あいさつ 👋 👋 🫂
お風呂	お風呂 🛀
ため息	ため息 😮‍💨
しろしかくとくだい	しろしかくとくだい ⬜️
白杖	白杖 🦯
かこみすうじ	かこみすうじ #️⃣ *️⃣ 0️⃣ 1️⃣ 2️⃣ 3️⃣ 4️⃣ 5️⃣ 6️⃣ 7️⃣ 8️⃣ 9️⃣ 🔟
すろばきあ	すろばきあ 🇸🇰
おべろん	おべろん 🧚
くるくる	くるくる 🌀
血液型O型	血液型O型 🅾️
標識	標識 ⚠️ ⛔️ 🚫 🚳 🚷 🚸 🛑
ピースマーク	ピースマーク ☮️
ぼとる	ぼとる 🍾
だめ	だめ 👎️ 👎️ 🙅 🙅
めも	めも 📋️ 📝
あかちゃんてんし	あかちゃんてんし 👼
伝説	伝説 🧚 🧜 🧝
あいらぶゆー	あいらぶゆー 🤟
合格	合格 🈴
赤い下三角	赤い下三角 🔻
丸太	丸太 🪵
とほほ	とほほ 😅 😅
スパーク	スパーク ❇️
こうがい	こうがい 🏠️ 🏡
つうこうどめ	つうこうどめ 🚧 🚫
ウサギの顔	ウサギの顔 🐰
鹿	鹿 🦌 🫎
水やり	水やり 🪴
絵描き	絵描き 🧑‍🎨
かがく	かがく ⚖️ ⚗️ 📡 🔍️ 🔎 🔬 🔭 🦠 🧪
男性と男性のカップル	男性と男性のカップル 👨‍❤️‍👨
軍用ヘルメット	軍用ヘルメット 🪖
位置情報	位置情報 🚩
ちゅうかじんみんきょうわこくほんこんとくべつぎょうせいく	ちゅうかじんみんきょうわこくほんこんとくべつぎょうせいく 🇭🇰
めん	めん 🍜
王様	王様 🫅
ダメのポーズをする男	ダメのポーズをする男 🙅‍♂️
ウィンドウ	ウィンドウ 🪟
ねずみ	ねずみ 🐀 🐀 🐁 🐁 🐭 🐭 🐹
大きい青のひし形	大きい青のひし形 🔷
カリウム	カリウム 🍌
しかめつらのおとこ	しかめつらのおとこ 🙍‍♂️
フィリピン	フィリピン 🇵🇭
消火器具	消火器具 🧯
あんでっど	あんでっど 🧟
ぼーとをこぐおんな	ぼーとをこぐおんな 🚣‍♀️
赤い感嘆符	赤い感嘆符 ❗️
黒	黒 ▪️ ◼️ ◾️ ⚫️ ⬛️ 🏴 🐈‍⬛ 🐦‍⬛ 🖤
じゅんれい	じゅんれい 🕋
どらむ	どらむ 🥁 🪘
歩く女	歩く女 🚶‍♀️ 🚶‍♀️‍➡️
ひだりした	ひだりした ↙️
まんぞく	まんぞく 😆 😊
ヤシの木のある島	ヤシの木のある島 🏝️
ひとをゆびさしているて	ひとをゆびさしているて 🫵
あいすらんど	あいすらんど 🇮🇸
ちきん	ちきん 🍗
麺	麺 🍜
電波	電波 📡 📶 🛜
かーどいんでっくす	かーどいんでっくす 📇
るわんだ	るわんだ 🇷🇼
アボカド	アボカド 🥑
かいてい	かいてい 🧜
ふるえているかお	ふるえているかお 🫨
ほういじしん	ほういじしん 🧭
天ぷら	天ぷら 🍤
FAX	FAX 📠
妖精	妖精 🧚 🧚‍♀️ 🧚‍♂️ 🧝
かがみ	かがみ 🪞
バタフライ	バタフライ 🦋
しおれたはな	しおれたはな 🥀
オッケー	オッケー 🆗 👌 👍️ 🙆‍♀️ 🙆‍♂️
視覚	視覚 👨‍🦯 👨‍🦯‍➡️ 👩‍🦯 👩‍🦯‍➡️ 🦮 🦯 🧑‍🦯 🧑‍🦯‍➡️
ばげっと	ばげっと 🥖
なさけ	なさけ 🥺
じてんしゃのり	じてんしゃのり 🚴 🚴‍♀️ 🚵 🚵‍♀️
携帯	携帯 📱 📳
お化け	お化け 👻
激怒	激怒 👿 😡
みぎにむけたて	みぎにむけたて 🫱
仕事かばん	仕事かばん 💼
けいたい	けいたい 📱 📲 📳 📴 📶
おばあさん	おばあさん 👵 👵
馬（全体）	馬（全体） 🐎
じょせいのげいじゅつか	じょせいのげいじゅつか 👩‍🎨
科学者	科学者 👨‍🔬 👩‍🔬 🥼 🧑‍🔬
べっど	べっど 🛌 🛏️
かいてん	かいてん 🪀
台湾	台湾 🇹🇼
みるく	みるく 🍼 🤱 🥛
曇り一時晴れ	曇り一時晴れ 🌥️
鼻	鼻 🐽 👃
ドット付きひし形	ドット付きひし形 💠
かんようしょくぶつ	かんようしょくぶつ 🪴
タキシードの人	タキシードの人 🤵
りくしゃー	りくしゃー 🛺
とらんぺっと	とらんぺっと 🎺
いじぇくと	いじぇくと ⏏️
ひばな	ひばな 🎇 🧨
ほっきょく	ほっきょく 🐻‍❄️
水道	水道 🚰
お気に入り	お気に入り 🔖
叫び	叫び 😱
レベルスライダー	レベルスライダー 🎚️
龍	龍 🐉 🐲
蒸気	蒸気 🧖
みなと	みなと ⚓️
3位	3位 🥉
丸い押しピン	丸い押しピン 📍
かいじゅう	かいじゅう 🦭
たばこ	たばこ 🚬 🚬 🚭️
会計	会計 🧾
男性と女性と女の子と男の子の家族	男性と女性と女の子と男の子の家族 👨‍👩‍👧‍👦
うぇーるず	うぇーるず 🏴󠁧󠁢󠁷󠁬󠁳󠁿
クリスタル	クリスタル 🔮
タワー	タワー 🗼
ＶＳ（バーサス）	ＶＳ（バーサス） 🆚
オートレース	オートレース 🏍️
ぴんぽん	ぴんぽん 🏓
ぎゃくさいせい	ぎゃくさいせい ◀️
みなみ	みなみ ⬇️
ゆびをくろす	ゆびをくろす 🤞 🫰
ぶるんじ	ぶるんじ 🇧🇮
しんじられない	しんじられない 😮 🤦 🤦‍♀️ 🤦‍♂️
ふぃーるどほっけー	ふぃーるどほっけー 🏑
こっき	こっき 🇨🇳 🇩🇪 🇪🇸 🇫🇷 🇬🇧 🇮🇹 🇯🇵 🇰🇷 🇷🇺 🇺🇸 🏴
コモロ	コモロ 🇰🇲
けいたいじゅしん	けいたいじゅしん 📲
アルバニア	アルバニア 🇦🇱
ジジ	ジジ 🃏
こっく	こっく 👨‍🍳 👩‍🍳 🧑‍🍳
女性警察官	女性警察官 👮‍♀️
テープ	テープ 📼
ヘリコプター	ヘリコプター 🚁
ベル	ベル 🔔 🛎️
きぷろす	きぷろす 🇨🇾
SOS	SOS 🆘
洗面所	洗面所 🪥
兵士	兵士 🪖
すーぱーひーろー	すーぱーひーろー 🦸
ピトケアン諸島	ピトケアン諸島 🇵🇳
手をつなぐ男性	手をつなぐ男性 👬
困った顔	困った顔 ☹️ 😧
人形	人形 🎎 🪅 🪆
ねくたりん	ねくたりん 🍊
こっぷ	こっぷ 🥛 🥤
かんがえる	かんがえる 🤔 🧐
ふぉーく	ふぉーく 🍴 🍽️
がーでなー	がーでなー 🧑‍🌾
おまえだ	おまえだ 🫵 🫵
ポリス	ポリス 👮
会話	会話 💬 🗨️
幸運	幸運 🧧
掛け算	掛け算 ✖️ ❌️ ❎️
ダブルループ	ダブルループ ➿️
腕時計	腕時計 ⌚️
人影	人影 👤
おおもじ	おおもじ 🔠
ブルーボネット	ブルーボネット 🪻
警告	警告 ⚠️
すっぱい	すっぱい 🍋 🍋‍🟩
男性と女性と女の子と女の子の家族	男性と女性と女の子と女の子の家族 👨‍👩‍👧‍👧
さんぱつされるおんな	さんぱつされるおんな 💇‍♀️
ラーメン	ラーメン 🍜
いんりょうすい	いんりょうすい 🚰
あめりかたいりく	あめりかたいりく 🌎️
ろざりお	ろざりお 📿
そり	そり 🛷 🛷
はくしゅ	はくしゅ 👏
公衆トイレ	公衆トイレ 🚻
うえむきさんかく	うえむきさんかく 🔺 🔼
電源	電源 🔌
ｱﾝﾃﾅ（位置情報ﾏｰｸ）	ｱﾝﾃﾅ（位置情報ﾏｰｸ） 📡
はんげつ	はんげつ 🌓 🌗 🌛 🌜️
くもがたのふきだし	くもがたのふきだし 💭
かーと	かーと 🛒
コップから注ぐ	コップから注ぐ 🫗
かーど	かーど ♠️ ♣️ ♥️ ♦️ 🃏 🎴 💳️ 🗃️
風邪薬	風邪薬 💊
紫ハート	紫ハート 💜
かーる	かーる 📃 🦱
フルーツ	フルーツ 🍋‍🟩 🥭
れべる	れべる 🎚️
フルート	フルート 🪈
あすくれぴおすのつえ	あすくれぴおすのつえ ⚕️
ピンヒール	ピンヒール 👠
かーば	かーば 🕋
ほっとけーき	ほっとけーき 🥞
言わざる	言わざる 🙊
ホテル２	ホテル２ 🏩
まんせき	まんせき 🈵
きりかぶ	きりかぶ 🪵
チャド	チャド 🇹🇩
ういてるびじねすまん	ういてるびじねすまん 🕴️
くすだま	くすだま 🎊
かーぶ	かーぶ ↩️ ↪️ ⤴️ ⤵️
Tシャツ（ボーダー）	Tシャツ（ボーダー） 👕
ほっとすぽっと	ほっとすぽっと 🛜
五線譜	五線譜 🎼
なみせん	なみせん 〰️
どみにかこく	どみにかこく 🇩🇲
金髪の女性	金髪の女性 👱‍♀️
青い四角	青い四角 🟦
ジェットコースター	ジェットコースター 🎢
ういんく	ういんく 😉
けいれいするかお	けいれいするかお 🫡
仕掛け	仕掛け 🪤
かさとあめ	かさとあめ ☔️
わいん	わいん 🍷
おやゆびさいん	おやゆびさいん 👍️
ふらっしゅ	ふらっしゅ 📸
はにー	はにー 🍯
しゅりんぷ	しゅりんぷ 🦐
マウストラップ	マウストラップ 🪤
あめりかんふっとぼーる	あめりかんふっとぼーる 🏈
カップル	カップル 👨‍❤️‍👨 👨‍❤️‍💋‍👨 👩‍❤️‍👨 👩‍❤️‍👩 👩‍❤️‍💋‍👨 👩‍❤️‍💋‍👩 👫 👬 👭 💏 💑 🧑‍🤝‍🧑
むしめがね	むしめがね 🔍️ 🔍️ 🔎 🕵️ 🕵️‍♀️ 🕵️‍♂️
煉瓦	煉瓦 🧱
童話	童話 🧚
道着	道着 🥋
せいざ	せいざ ♈️ ♉️ ♊️ ♋️ ♌️ ♍️ ♎️ ♏️ ♐️ ♑️ ♒️ ♓️ ⚖️ ⛎️ 🏹 🏺 🐂 🐍 🐏 🐐 🐟️ 🦀 🦁 🦂
ネコの顔	ネコの顔 🐱
選挙	選挙 🗳️
みにばす	みにばす 🚐
早送りボタン	早送りボタン ⏩️
トルクメニスタン	トルクメニスタン 🇹🇲
あたまばくはつ	あたまばくはつ 🤯
液体	液体 🫗 🫠
さいほう	さいほう 🧵 🪡
せいち	せいち 🕋
誘惑	誘惑 🫦
ひやあせえがお	ひやあせえがお 😅
米領サモア	米領サモア 🇦🇸
ですくとっぷ	ですくとっぷ 🖥️
ひたいに手をあてる男	ひたいに手をあてる男 🤦‍♂️
せいり	せいり 🩸
ゆびわ	ゆびわ 💍
なげる	なげる 🤾 🤾‍♀️
アイラブユー	アイラブユー 🤟
はんどぼーる	はんどぼーる 🤾 🤾‍♀️ 🤾‍♂️
はったんじゅうじか	はったんじゅうじか ☦️
メロディ	メロディ 🎶
もくげき	もくげき 👁️‍🗨️
お墓	お墓 🪦
ガーデナー	ガーデナー 🧑‍🌾
あんない	あんない 💁 💁‍♀️ 💁‍♂️
どんっ（衝撃）	どんっ（衝撃） 💥
ぐあいのわるいかお	ぐあいのわるいかお 🤢
せいふ	せいふ 🧲
たいそう	たいそう 🤸 🤸‍♀️ 🤸‍♂️
ぱらぐらいだー	ぱらぐらいだー 🪂
宇宙旅行	宇宙旅行 🚀
大きくなるハート	大きくなるハート 💗
落ち葉	落ち葉 🍁 🍂 🍃
わしょく	わしょく 🍙
えいが	えいが 🎞️ 🎥 🎦 🎬️ 📽️
ものづくり	ものづくり 🧑‍🏭
そふとたこす	そふとたこす 🌯
えいご	えいご 🔤
えいじ	えいじ 🔠 🔡 🔤
溶けている顔	溶けている顔 🫠
上向き	上向き 📈
すくーたー	すくーたー 🛵
すいしょうきゅう	すいしょうきゅう 🔮
こんがん	こんがん 🥹 🥺
きらきらハート	きらきらハート 💖
ケニア	ケニア 🇰🇪
せいなるしんぞう	せいなるしんぞう ❤️‍🔥
しろぬきのちぇっく	しろぬきのちぇっく ✅️
路面電車正面	路面電車正面 🚊
サイ	サイ 🦏
ブイ	ブイ 🛟
歩く屍	歩く屍 🧟
三角の旗	三角の旗 🚩
こだい	こだい 🏛️
ニュージーランド	ニュージーランド 🇳🇿
べらんだ	べらんだ 🪴
100てん	100てん 💯
バースデー	バースデー 🎂
兄弟	兄弟 👬
犯罪者	犯罪者 🦹
ダム作り	ダム作り 🦫
2時30分	2時30分 🕝️
ブタ	ブタ 🐖 🐷 🐽
手をつなぐ男女	手をつなぐ男女 👫
サメ	サメ 🦈
薄い青	薄い青 🩵
手漕ぎボート	手漕ぎボート 🚣 🚣‍♀️
拡大鏡	拡大鏡 🔍️ 🔎
小さいオレンジのひし形	小さいオレンジのひし形 🔸
男子学生	男子学生 👨‍🎓
おとなふたり	おとなふたり 🧑‍🧑‍🧒 🧑‍🧑‍🧒‍🧒
きょうだい	きょうだい 👬
へるめっと	へるめっと ⛑️ 👷 👷‍♀️ 👷‍♂️ 🪖
サル	サル 🐒 🐵 🦧
せいざするひと	せいざするひと 🧎 🧎‍➡️
りようしつ	りようしつ 💇 💇‍♂️ 💈
めっせーじ	めっせーじ 💬
あしくび	あしくび 🦶
ライラック	ライラック 🪻
タキシードの女	タキシードの女 🤵‍♀️
国王	国王 🫅
クリケット	クリケット 🏏
クランプ	クランプ 🗜️
八角アスタリスク	八角アスタリスク ✳️
バランス	バランス ⚖️
ばいおりん	ばいおりん 🎻
びよういん	びよういん ✂️ 💇 💇‍♀️ 💇‍♂️ 💈
かざふすたん	かざふすたん 🇰🇿
ピックアップトラック	ピックアップトラック 🛻
ぞうき	ぞうき 🫀 🫁
りょうりにん	りょうりにん 👨‍🍳 👩‍🍳
マスク顔	マスク顔 😷
おすし	おすし 🍣
冷や汗青ざめ	冷や汗青ざめ 😰
バイオハザード	バイオハザード ☣️
つえをついただんせい	つえをついただんせい 👨‍🦯 👨‍🦯‍➡️
カイト	カイト 🪁
スプーン	スプーン 🥄
表情（おろおろ）	表情（おろおろ） 😰
かみふぶき	かみふぶき 🎊
低輝度	低輝度 🔅
ちぇあ	ちぇあ 🪑
しょうきん	しょうきん 💰️
たいおんけい	たいおんけい 🤒
やじるし	やじるし ↔️ ↕️ ↖️ ↗️ ↘️ ↙️ ↩️ ↪️ ⏩️ ⏪️ ⏫️ ⏬️ ⏭️ ⏮️ ⏯️ ▶️ ◀️ ➡️ ⤴️ ⤵️ ⬅️ ⬆️ ⬇️ 👆️ 👇️ 👈️ 👉️ 🔀 🔁 🔂 🔃 🔄 🔙 🔚 🔛 🔜 🔝 🔼 🔽
サムズアップ	サムズアップ 👍️
ターキー	ターキー 🍗 🦃
めだまやき	めだまやき 🍳
湯のみ	湯のみ 🍵
かくとうぎ	かくとうぎ 🥋
四角	四角 ⏹️ ▪️ ▫️ ◻️ ◼️ ◽️ ◾️ ⬛️ ⬜️ 🔶 🔷 🔸 🔹 🟥 🟦 🟧 🟨 🟩 🟪 🟫
ちぇこ	ちぇこ 🇨🇿
とらのかお	とらのかお 🐯
おーとれーす	おーとれーす 🏍️
あおざめ	あおざめ 😨 😰
耳の不自由な人	耳の不自由な人 🧏
ちぇす	ちぇす ♟️
9時	9時 🕘️
しくきょう	しくきょう 🪯
操縦士	操縦士 👨‍✈️ 👩‍✈️ 🧑‍✈️
正負	正負 🧲
キャッシュ	キャッシュ 💰️
輪っか	輪っか ➰️ ➿️
アクセプト	アクセプト 🉑
くうそう	くうそう 💭
予防接種	予防接種 💉
かねもち	かねもち 💰️
てぃらのさうるす	てぃらのさうるす 🦖
燃える	燃える 🔥
えいえん	えいえん ♾️
発熱	発熱 🥵
とっぷう	とっぷう 🌪️
開いた手	開いた手 🖐️
等しい	等しい 🟰
ブルガリア	ブルガリア 🇧🇬
スロット（７７７）	スロット（７７７） 🎰
アイルランド	アイルランド 🇮🇪
ほほえむ	ほほえむ 🙂
右斜め上	右斜め上 ↗️
こうれいしゃ	こうれいしゃ 👴 👵 🦳 🧓
右斜め下	右斜め下 ↘️
オーケストラ	オーケストラ 🪈 🪉
じょうひん	じょうひん 🧐
赤い四角	赤い四角 🟥
ていりゅうじょ	ていりゅうじょ 🚏
庵点	庵点 〽️
びりやーど	びりやーど 🎱
こううん	こううん 🧧
ローファー	ローファー 👞
グリーンピース	グリーンピース 🫛
農家の男性	農家の男性 👨‍🌾
表情（いー）	表情（いー） 😝
じぶち	じぶち 🇩🇯
ワタリガラス	ワタリガラス 🐦‍⬛
6じはん	6じはん 🕡️
コンパス	コンパス 🧭
めをまわしたかお	めをまわしたかお 😵‍💫
魔術	魔術 🪄
国旗（イタリア）	国旗（イタリア） 🇮🇹
洗濯	洗濯 🧺
くいーん	くいーん 👸
郵便ラッパ	郵便ラッパ 📯
ぶらきおさうるす	ぶらきおさうるす 🦕
建設中	建設中 🏗️
万物	万物 ♾️
時計（６時）	時計（６時） 🕕️
みみずく	みみずく 🦉
赤い疑問符	赤い疑問符 ❓️
主張	主張 🪧
しかめっ面	しかめっ面 😬 🙍 🙍‍♀️ 🙍‍♂️
ほほえみ	ほほえみ 😊 🙂 🙂
右向きのこぶし	右向きのこぶし 🤜
カート	カート 🛒
カード	カード ♠️ ♣️ ♥️ ♦️ 🃏 🎴 💳️ 🗃️
あふろ	あふろ 🦱 🪮
2にんできす	2にんできす 👨‍❤️‍💋‍👨 👩‍❤️‍💋‍👨 👩‍❤️‍💋‍👩 💏
高電圧	高電圧 ⚡️
祝日マーク	祝日マーク 🎌
めをあけてくちにてをあてたかお	めをあけてくちにてをあてたかお 🫢
カーバ	カーバ 🕋
もんとせらと	もんとせらと 🇲🇸
音符	音符 🎵 🎶
カーブ	カーブ ↩️ ↪️ ⤴️ ⤵️
すとらいく	すとらいく 🎳
トレードマーク（TM）	トレードマーク（TM） ™️
ぷーる	ぷーる 👙
テレビゲーム	テレビゲーム 🎮️ 🕹️
かいめん	かいめん 🧽
体温計	体温計 🤒
ソファ	ソファ 🛋️
沈黙	沈黙 😶
はーとでこ	はーとでこ 💟
あかいふうとう	あかいふうとう 🧧
おうかんをかぶったひと	おうかんをかぶったひと 🫅
得（お得）	得（お得） 🉐
おせんべい	おせんべい 🍘
かくぼう	かくぼう 🎓️ 👨‍🎓 👩‍🎓 🧑‍🎓
ソフト	ソフト 🍦
ちまき	ちまき 🫔 🫔
スピーカー	スピーカー 📢 📣 🔇 🔈️ 🔉 🔊
しゃーぷだいやる	しゃーぷだいやる #️⃣
スパーク２（キラリマーク）	スパーク２（キラリマーク） ✴️
ひしがた	ひしがた 💠 🔶 🔷 🔸 🔹
トライデント	トライデント 🔱
とりのたまごとす	とりのたまごとす 🪺
ははおや	ははおや 👩‍🍼 🧑‍🍼
おーけーのぽーずをするおとこ	おーけーのぽーずをするおとこ 🙆‍♂️
カール	カール 📃 🦱
大きいオレンジのひし形	大きいオレンジのひし形 🔶
うちゅう	うちゅう ☄️ 🌌 🌑 🌒 🌓 🌔 🌕️ 🌖 🌗 🌘 🌙 🌠 🚀 🛰️ 🛸
えれきぎたー	えれきぎたー 🎸
パズル	パズル 🧩
ぶるーれい	ぶるーれい 💿️ 📀
射手座	射手座 ♐️ 🏹
ちょっと待って	ちょっと待って 🫷 🫸
りょうがえ	りょうがえ 💱
聖なる心臓	聖なる心臓 ❤️‍🔥
ハートデコ	ハートデコ 💟
中華菓子	中華菓子 🥮
ピタパン	ピタパン 🥙 🫓
とんぐさんだる	とんぐさんだる 🩴
せかいちず	せかいちず 🗺️
とうきょう	とうきょう 🗼
高速	高速 🛣️
ゲイ	ゲイ 🌈 🏳️‍🌈
不満	不満 😒 😠 😦 🙍 🫤
ごみかご	ごみかご 🗑️ 🗑️
えんだか	えんだか 💹
オートミール	オートミール 🥣
スピーカー消音	スピーカー消音 🔇
我慢する顔	我慢する顔 😣
はつづき	はつづき 🌒
ガラス	ガラス 🫗
そくてん	そくてん 🤸 🤸‍♀️ 🤸‍♂️
たると	たると 🥧
てをつなぐふたり	てをつなぐふたり 🧑‍🤝‍🧑
観葉植物	観葉植物 🪴
顕微鏡	顕微鏡 🔬
登山靴	登山靴 🥾
けーき	けーき 🍰 🎂 🧁
日傘	日傘 ⛱️
受付嬢	受付嬢 💁
あみもの	あみもの 🧶
農場主	農場主 🧑‍🌾
巻き貝	巻き貝 🐚
あおざめたかお	あおざめたかお 😨
公園	公園 🏞️ 🛝
縫い針	縫い針 🧵 🪡
ねったいぎょ	ねったいぎょ 🐠
ろぼっと	ろぼっと 🤖
しんどう	しんどう 🫨
ビル	ビル 🌆 🌇 🏢 🏬
ケガしてる顔	ケガしてる顔 🤕
女子トイレ	女子トイレ 🚺️
zzz	zzz 💤 💤 😴 😴
シンボルが口にある顔	シンボルが口にある顔 🤬
アルティメット	アルティメット 🥏
愛してる	愛してる 🤟 🥰 🩷
とんかち	とんかち ⚒️ ⚒️ 🔨 🔨 🛠️ 🛠️
けーる	けーる 🥬
けんばん	けんばん 🎹
とんが	とんが 🇹🇴
モアイ	モアイ 🗿
ふかしぎ	ふかしぎ 🧞
ＯＫ！２	ＯＫ！２ 🙆
なんせい	なんせい ↙️
封筒と矢印	封筒と矢印 📩
天気雨	天気雨 🌦️
しお	しお 🐳 🧂
しか	しか 🦌 🫎
こそぼ	こそぼ 🇽🇰
オレンジの四角	オレンジの四角 🟧
とざんぐつ	とざんぐつ 🥾
大菱形１	大菱形１ 🔶
大菱形２	大菱形２ 🔷
かーかー	かーかー 🐦‍⬛
あるくひと	あるくひと 🚶
パレット	パレット 🎨 👩‍🎨
しし	しし 🐯
しけんかん	しけんかん 🧪
しょうおん	しょうおん 🔇 🔕
登る	登る 🧗 🪜
ふぇりー	ふぇりー ⛴️
演劇	演劇 🎩 🎭️
した	した ⏬️ ⤵️ ⬇️ 👅 👇️ 👎️ 🔻 🔽 😛 😜 😝 🤑 🫳
しゅえい	しゅえい 💂 💂‍♀️ 💂‍♂️
しっ	しっ 🤫 🤫
phone	phone 📲
サーチ（調べる）	サーチ（調べる） 🔍️
らんぷ	らんぷ 🛋️ 🪔
ぼたん	ぼたん ⏏️ ⏩️ ⏫️ ⏬️ ⏭️ ⏮️ ⏯️ ⏸️ ⏹️ ⏺️ ▶️ ◀️ 🔀 🔁 🔂 🔘 🔲 🔳 🔼 🔽
マティーニ（カクテルグラス）	マティーニ（カクテルグラス） 🍸️
ふろっぴー	ふろっぴー 💾
しろ	しろ ▫️ ◻️ ◽️ ⚪️ ⬜️ 🏯 🏰 🏳️ 🐻‍❄️ 🤍
日光	日光 ☀️ 🌅
わりびき	わりびき 🈹
しゃわー	しゃわー 🚿
ほいくしょ	ほいくしょ 📛
さんご	さんご 🪸
万歳	万歳 🙌
6時	6時 🕕️
きしゃ	きしゃ 🚂
しん	しん 🆕 🈸
きしゅ	きしゅ 🏇
さっかー	さっかー ⚽️
さんじ	さんじ 🕒️
まうんてんばいくにのるおんな	まうんてんばいくにのるおんな 🚵‍♀️
ＡＢ	ＡＢ 🆎
不潔	不潔 🪰
さんた	さんた 🎅 🧑‍🎄
ぶたのかお	ぶたのかお 🐷
しま	しま 🏝️ 🦓
へんそうしたかお	へんそうしたかお 🥸
施術	施術 💆
自由形	自由形 🏊️
燃えるハート	燃えるハート ❤️‍🔥
ごうかく	ごうかく 🈴
指紋｜鑑識｜生体認証｜セキュリティ	指紋｜鑑識｜生体認証｜セキュリティ 🫆
はろうぃん	はろうぃん 🎃
ぴーこっく	ぴーこっく 🦚
小屋	小屋 🛖
酸っぱい	酸っぱい 🍋 🍋‍🟩
西洋の城	西洋の城 🏰
としょかん	としょかん 📖 📗 📘 📙
あかいはこ	あかいはこ 🧰
あすりーと	あすりーと 🤾
さんぽ	さんぽ 🚶 🚶‍♀️ 🚶‍♀️‍➡️ 🚶‍➡️
パモーニャ	パモーニャ 🫔
アルパカ	アルパカ 🦙
悲しい	悲しい ☹️ 😔 😞 😟 😢 😭 😿
ドクロと骨	ドクロと骨 ☠️
おこった	おこった 💢 😠
目がハート	目がハート 😍
れいはいどう	れいはいどう ⛪️ 💒
ミャンマー	ミャンマー 🇲🇲
すとろべりー	すとろべりー 🍓
咲いた花	咲いた花 🌼
水球をする人	水球をする人 🤽
手（指差し）	手（指差し） ☝️
うぉーきんぐ	うぉーきんぐ 🚶 🚶‍♀️ 🚶‍♀️‍➡️ 🚶‍♂️ 🚶‍♂️‍➡️ 🚶‍➡️
カチンコ	カチンコ 🎬️
こおろぎ	こおろぎ 🦗
ともだち	ともだち 👥 👫 👬 👭 🧑‍🤝‍🧑
がまん顔	がまん顔 😣
おじいちゃん	おじいちゃん 👴 👴
あひる	あひる 🪿
りまいんだー	りまいんだー 🎗️
くろす	くろす ✝️
ポートベロー	ポートベロー 🍄‍🟫
ながめ	ながめ 🪟
ひよこ	ひよこ 🐣 🐣 🐤 🐤 🐥 🐥
しー	しー 🤫 🤫
除外	除外 🙅
手動式車椅子の女性	手動式車椅子の女性 👩‍🦽 👩‍🦽‍➡️
フランス王家	フランス王家 ⚜️
BACK矢印	BACK矢印 🔙
スポーツ	スポーツ ⚽️ ⚾️ ⛳️ ⛷️ ⛸️ ⛹️ ⛹️‍♀️ ⛹️‍♂️ 🎣 🎯 🎱 🎳 🎽 🎾 🎿 🏀 🏁 🏂️ 🏄️ 🏄‍♀️ 🏄‍♂️ 🏅 🏇 🏈 🏉 🏊️ 🏊‍♀️ 🏊‍♂️ 🏋️ 🏋️‍♀️ 🏋️‍♂️ 🏌️ 🏌️‍♀️ 🏌️‍♂️ 🏍️ 🏎️ 🏏 🏐 🏑 🏒 🏓 🏸 🚣 🚣‍♀️ 🚣‍♂️ 🚩 🚴 🚴‍♀️ 🚴‍♂️ 🚵 🚵‍♀️ 🚵‍♂️ 🛷 🛼 🤸 🤸‍♀️ 🤸‍♂️ 🤺 🤼 🤼‍♀️ 🤼‍♂️ 🤽 🤽‍♀️ 🤽‍♂️ 🤾 🤾‍♀️ 🤾‍♂️ 🤿 🥅 🥊 🥋 🥌 🥍 🥎
アクション（ピストル）	アクション（ピストル） 🔫
ふらい	ふらい 🍤
12時半	12時半 🕧️
スポーク	スポーク 🛞
案内	案内 💁 💁‍♀️ 💁‍♂️
キャンディ（つつみ）	キャンディ（つつみ） 🍬
呼吸	呼吸 🫁
悲しみ	悲しみ 🥺
ふらぐ	ふらぐ ⛳️ 🎌 🏁 🏳️ 🏳️‍⚧️ 🏳️‍🌈 🏴 🚩
だいちょう	だいちょう 📒
